Date,PortNumber,ServiceName,RequestedBy,ChangeDescription,ExecutionGrp

Mon Jul 4 10:08:00 AST 2016 , 7848, NGI_VehicleInsurenceQutationsService, Venkat, Added the new object(Headers features) in BKIC service getVehicleQutationData method
Tue Aug 2 16:50:14 AST 2016 , 7848, SFBService_stg, Thiyan, Edit and Draft feature added
Wed Aug 3 09:48:41 AST 2016 , 7848, NGI_VehicleInsurenceQutationsService, Venkat, Updated table name
Wed Aug 3 16:32:36 AST 2016 , 7845, NGI_MOI_NotifyNewApplication, Venkat, Updated the backend URL and wsdl
Thu Aug 4 14:32:32 AST 2016 , 7848, NGI_HajjAgenciesServices, Akram, No Comment
Sun Aug 7 11:04:37 AST 2016 , 7803, NGI_SubmitPostalTracking, Sudhakar, GDT Integration with MOT
Sun Aug 7 11:05:51 AST 2016 , 7848, NGI_SubmitPostalTracking, Sudhakar, GDT Integration with MOT
Sun Aug 7 11:08:23 AST 2016 , 7856, NGI_SubmitPostalTracking, Sudhakar, GDT Integration with MOT
Sun Aug 7 12:06:16 AST 2016 , 7848, NGI_VehicleInsurenceQutationsService, Venkat, Updated the VehicleInsurenceUpload service test URL to Staging URL in properties file(attached file) and Solidarity added the new parameter(NetAmount) in getQuotes method
Sun Aug 7 14:24:07 AST 2016 , 7848, NGI_SubmitPostalTracking, Sudhakar, GDT Integration with MOT  - logging bug fix
Mon Aug 8 10:42:56 AST 2016 , 7848, NGI_SubmitPostalTracking, Sudhakar, Modified the code to allow the scheduler to retry with maximum retry .3..
Mon Aug 8 10:44:35 AST 2016 , 7803, NGI_SubmitPostalTracking, Sudhakar, Modified the code to allow the scheduler to retry with maximum retry .3..
Mon Aug 8 12:42:21 AST 2016 , 7848, NGI_PreEmploymentHealthCheckup, Venkat, Added the new error code in backend
Mon Aug 8 12:43:00 AST 2016 , 7848, NGI_PreEmploymentHealthCheckupWebService, Venkat, Added the new error code in backend
Mon Aug 8 14:39:25 AST 2016 , 7848, NGI_SubmitPostalTracking, Sudhakar, Modified the code to allow the scheduler to retry with maximum retry .3..
Mon Aug 8 14:42:42 AST 2016 , 7803, NGI_SubmitPostalTracking, Sudhakar, Modified the code to allow the scheduler to retry with maximum retry .3..
Mon Aug 8 14:44:27 AST 2016 , 7856, NGI_SubmitPostalTracking, Sudhakar, Modified the code to allow the scheduler to retry with maximum retry .3..
Mon Aug 8 15:31:11 AST 2016 , 7856, NGI_SubmitPostalTracking, Sudhakar, Modified the code to allow the scheduler to retry with maximum retry .3..
Mon Aug 8 15:33:02 AST 2016 , 7803, NGI_SubmitPostalTracking, Sudhakar, Modified the code to allow the scheduler to retry with maximum retry .3..
Mon Aug 8 15:33:33 AST 2016 , 7803, NGI_SubmitPostalTracking, Sudhakar, Modified the code to allow the scheduler to retry with maximum retry .3..
Mon Aug 8 15:34:20 AST 2016 , 7848, NGI_SubmitPostalTracking, Sudhakar, Modified the code to allow the scheduler to retry with maximum retry .3..
Tue Aug 9 15:26:15 AST 2016 , 7848, NGI-PropertyContractRegistration, Sudhakar, NGI error response message appending with back end errorcode and errormessage
Wed Aug 10 10:54:24 AST 2016 , 7848, NGI_PreEmploymentHealthCheckupWebService, Venkat, Added the error code in NGI, if user doesn.t have any appointment at the time reschedule
Thu Aug 11 09:23:39 AST 2016 , 7848, SFBService_stg, Thiyan, SFB - Added 1 methods (get service by user Id for 'savedservices' tab, Search service response schema modified to add version details)
Mon Aug 15 17:24:57 AST 2016 , 7848, SFBService_stg, Thiyan, SFB - Added 1 methods (get service by user Id for 'savedservices' tab, Search service response schema modified to add version details)
Tue Aug 16 08:59:03 AST 2016 , 7848, SFBService_stg, Thiyan, NotificationComponenetImpl.java - Modified to append new SMS username and password , if stg environment.
Tue Aug 16 11:14:15 AST 2016 , 7848, SFBService_stg, Thiyan, NotificationComponenetImpl.java - Modified to append new SMS username and password , if stg environment.
Tue Aug 16 12:02:05 AST 2016 , 7848, SFBService_stg, Thiyan, NotificationComponenetImpl.java - Modified to append new SMS username and password , if stg environment.
Tue Aug 16 13:08:25 AST 2016 , 7848, SFBService_stg, Thiyan, NotificationComponenetImpl.java - Modified to append new SMS username and password , if stg environment.
Tue Aug 16 15:54:56 AST 2016 , 7848, NGI_VehicleInsurenceQutationsService, Venkat, 1.Added the new parameters ContactDetais and Emaild in SubmitNewInsurence and SubmitRenewalInsurence methods.
Tue Aug 16 23:21:03 AST 2016 , 7848, NGI_GDTDashboardService, Sudhakar, GDT integration With MOT
Tue Aug 16 23:22:13 AST 2016 , 7848, NGI_DLR_Service, Sudhakar, GDT integration With MOT
Tue Aug 16 23:23:00 AST 2016 , 7848, NGI_VRR_Service, Sudhakar, GDT integration With MOT
Tue Aug 16 23:24:28 AST 2016 , 7854, NGI_VRR_Service, Sudhakar, GDT integration With MOT
Tue Aug 16 23:25:41 AST 2016 , 7854, NGI_DLR_Service, Sudhakar, GDT integration With MOT
Tue Aug 16 23:27:16 AST 2016 , 7854, NGI_GDTDashboardService, Sudhakar, GDT integration With MOT
Tue Aug 16 23:30:22 AST 2016 , 7856, NGI_GDTDashboardService, Sudhakar, GDT integration With MOT
Tue Aug 16 23:32:10 AST 2016 , 7856, NGI_VRR_Service, Sudhakar, GDT integration With MOT
Tue Aug 16 23:32:40 AST 2016 , 7856, NGI_DLR_Service, Sudhakar, GDT integration With MOT
Tue Aug 16 23:39:04 AST 2016 , 7846, NGI_GDTDashboardService, Sudhakar, GDT integration With MOT
Wed Aug 17 16:06:46 AST 2016 , 7848, NGI_IssueOfBirthCertificateService, Venkat, I have merged the EBirth Portal and KIOSK wrapper services to one eBirth wrapper service
Wed Aug 17 16:08:45 AST 2016 , 7856, NGI_IssueOfBirthCertificateService, Venkat, I have merged the EBirth Portal and KIOSK wrapper services to one eBirth wrapper service
Wed Aug 17 16:13:11 AST 2016 , 7803, NGI_SubmitPostalTracking, Sudhakar, Modified the existing table NGI_ISC_SUBMIT_MOT_DETAILS with new columns TRANSACTION_CODE, AUTH_CODE, ADDITIONAL_IDENTIFIER1, RETRY_COUNT to store the payment information for identify the duplicate postal tracking ids and generating new postal tracking ids for GDT postal tracking requests. 2) [for Direct Call]Modified the existing Update-MOT method to invoke MOT post method when we received the request from channels. Failed or success will be in table and failure records processed from scheduler. 3) Modified the existing .batchUpdateMOT. method to restrict retry interval to 3 times for functional errors and infinity times for connection or timeout issues
Wed Aug 17 16:15:53 AST 2016 , 7848, NGI_SubmitPostalTracking, Sudhakar, Modified the existing table NGI_ISC_SUBMIT_MOT_DETAILS with new columns TRANSACTION_CODE, AUTH_CODE, ADDITIONAL_IDENTIFIER1, RETRY_COUNT to store the payment information for identify the duplicate postal tracking ids and generating new postal tracking ids for GDT postal tracking requests. 2) [for Direct Call]Modified the existing Update-MOT method to invoke MOT post method when we received the request from channels. Failed or success will be in table and failure records processed from scheduler. 3) Modified the existing .batchUpdateMOT. method to restrict retry interval to 3 times for functional errors and infinity times for connection or timeout issues
Wed Aug 17 16:18:13 AST 2016 , 7856, NGI_SubmitPostalTracking, Sudhakar, Modified the existing table NGI_ISC_SUBMIT_MOT_DETAILS with new columns TRANSACTION_CODE, AUTH_CODE, ADDITIONAL_IDENTIFIER1, RETRY_COUNT to store the payment information for identify the duplicate postal tracking ids and generating new postal tracking ids for GDT postal tracking requests. 2) [for Direct Call]Modified the existing Update-MOT method to invoke MOT post method when we received the request from channels. Failed or success will be in table and failure records processed from scheduler. 3) Modified the existing .batchUpdateMOT. method to restrict retry interval to 3 times for functional errors and infinity times for connection or timeout issues
Thu Aug 18 08:59:16 AST 2016 , 7856, NGI_IssueOfBirthCertificateService, Venkat, Updated the Time out and Exception flows
Thu Aug 18 09:00:23 AST 2016 , 7848, NGI_IssueOfBirthCertificateService, Venkat, Updated the Time out and Exception flows
Thu Aug 18 12:58:23 AST 2016 , 7848, NGI_GDTDashboardService, Sudhakar, GDT integrate with MOT . logging changes
Thu Aug 18 12:58:55 AST 2016 , 7848, NGI_VRR_Service, Sudhakar, GDT integrate with MOT . logging changes
Thu Aug 18 13:00:14 AST 2016 , 7856, NGI_VRR_Service, Sudhakar, GDT integrate with MOT . logging changes
Thu Aug 18 13:02:04 AST 2016 , 7856, NGI_GDTDashboardService, Sudhakar, GDT integrate with MOT . logging changes
Thu Aug 18 13:03:32 AST 2016 , 7854, NGI_GDTDashboardService, Sudhakar, GDT integrate with MOT . logging changes
Thu Aug 18 13:04:07 AST 2016 , 7854, NGI_VRR_Service, Sudhakar, GDT integrate with MOT . logging changes
Thu Aug 18 16:27:44 AST 2016 , 7848, SFBServices, Thiyan, Attachment changes. Designation id changed to string. Added attachments object in Eligibility Object
Sun Aug 21 12:09:47 AST 2016 , 7848, NGI_DLR_Service, Sudhakar, Updated backend Message set (as ministry updated WSDL file with new element .futureRenewalDate.)
Sun Aug 21 12:19:45 AST 2016 , 7848, NGI_VRR_Service, Sudhakar, Updated backend Message set (as ministry updated WSDL file with new element .futureRenewalDate.)
Sun Aug 21 12:21:58 AST 2016 , 7854, NGI_VRR_Service, Sudhakar, Updated backend Message set (as ministry updated WSDL file with new element .futureRenewalDate.)
Sun Aug 21 12:22:50 AST 2016 , 7854, NGI_DLR_Service, Sudhakar, Updated backend Message set (as ministry updated WSDL file with new element .futureRenewalDate.)
Sun Aug 21 12:30:01 AST 2016 , 7856, NGI_DLR_Service, Sudhakar, Updated backend Message set (as ministry updated WSDL file with new element .futureRenewalDate.)
Sun Aug 21 12:31:10 AST 2016 , 7856, NGI_VRR_Service, Sudhakar, Updated backend Message set (as ministry updated WSDL file with new element .futureRenewalDate.)
Sun Aug 21 15:05:47 AST 2016 , 7848, NGI_GDTDashboardService, Sudhakar, Updated backend Message set (as ministry updated WSDL file with new element .futureRenewalDate.)
Sun Aug 21 15:27:41 AST 2016 , 7848, NGI_GDTDashboardService, Sudhakar, Updated backend Message set (as ministry updated WSDL file with new element .futureRenewalDate.)
Sun Aug 21 15:46:21 AST 2016 , 7856, NGI_GDTDashboardService, Sudhakar, Updated backend Message set (as ministry updated WSDL file with new element .futureRenewalDate.)
Sun Aug 21 15:47:30 AST 2016 , 7854, NGI_GDTDashboardService, Sudhakar, Updated backend Message set (as ministry updated WSDL file with new element .futureRenewalDate.)
Wed Aug 24 10:20:08 AST 2016 , 7848, NGI_UOBAdmissionService, Gayathri, Before we are validating only for application status A1 now we are validating for A2,A3 and A4
Wed Aug 24 13:03:59 AST 2016 , 7848, NGI_UOBAdmissionService, Gayathri, Added student ID in the response of GetUserInfo method
Wed Aug 24 15:23:13 AST 2016 , 7848, NGI_UOBAdmissionService, Gayathri, Added student ID in the response of GetUserInfo method
Sun Aug 28 14:34:07 AST 2016 , 7845, NGI_MOH_NotifyNewApplicationService, Venkat, BLIS - NotifyNewApplication MOH service(NEW) 
Sun Aug 28 16:56:08 AST 2016 , 7803, NGI-EWAService, Thiyan, 1. Logging test for closing connection 2. Overall execption logged 3. Based on environment DB source has been changed
Sun Aug 28 17:10:29 AST 2016 , 7803, NGI-EWAService, Thiyan, 1. Logging test for closing connection 2. Overall execption logged 3. Based on environment DB source has been changed
Mon Aug 29 11:34:23 AST 2016 , 7848, NGI-JuridicialAnnouncementService, Gayathri, 1.It is a new migration service
Mon Aug 29 12:44:55 AST 2016 , 7848, NGI_HajjAgenciesServices, Akram, No Comments
Mon Aug 29 15:04:05 AST 2016 , 7848, NGI_VRR_Service, Gayathri, Showing the error code and error message .VRR-0001 - FAILURE, EXCEPTION INVOKING BACKEND. based on the contravention and vehicle count only if the count is >0
Mon Aug 29 15:05:10 AST 2016 , 7856, NGI_VRR_Service, Gayathri, Showing the error code and error message .VRR-0001 - FAILURE, EXCEPTION INVOKING BACKEND. based on the contravention and vehicle count only if the count is >0
Mon Aug 29 15:06:24 AST 2016 , 7854, NGI_VRR_Service, Gayathri, Showing the error code and error message .VRR-0001 - FAILURE, EXCEPTION INVOKING BACKEND. based on the contravention and vehicle count only if the count is >0
Tue Aug 30 15:17:57 AST 2016 , 7854, NGI_GovernmentDirectory, Gayathri, Updated code for publish date issue, organized logs
Tue Aug 30 15:51:29 AST 2016 , 7848, 3FactorLogin, Syed, Logger Name Updated
Wed Aug 31 10:57:26 AST 2016 , 7848, NGI-JuridicialAnnouncementService, Gayathri, Code Change
Wed Aug 31 13:49:39 AST 2016 , 7848, NGI-LawyerAuthorization, Gayathri, Added  new parameter .RenewalDaysNumber. to the FetchLawyerAndAuthorizedUserDetails response object
Sun Sep 4 08:39:04 AST 2016 , 7854, NGI_GovernmentDirectory, Thiyan, Ministry Id to accept 0. ngi:GetMinistryEmpDetailsIn
Mon Sep 5 13:02:57 AST 2016 , 7848, NGI_NewVehicleRegistrationService, Sudhakar, Bug fix - while converting date format for filed .insurance-date-start. in the operation .UploadAndValidateNewVehicleDetails.
Tue Sep 6 15:05:05 AST 2016 , 7848, NGI_VehicleInsuranceCBBReports, Kheir, New Service
Tue Sep 6 16:42:13 AST 2016 , 7856, NGI_GDTDashboardService, Sudhakar, Logging changes . updated with broker instance name
Tue Sep 6 16:42:40 AST 2016 , 7856, NGI_VRR_Service, Sudhakar, Logging changes . updated with broker instance name
Tue Sep 6 16:43:25 AST 2016 , 7856, NGI_DLR_Service, Sudhakar, Logging changes . updated with broker instance name
Tue Sep 6 16:44:11 AST 2016 , 7854, NGI_DLR_Service, Sudhakar, Logging changes . updated with broker instance name
Tue Sep 6 16:44:46 AST 2016 , 7854, NGI_VRR_Service, Sudhakar, Logging changes . updated with broker instance name
Tue Sep 6 16:45:39 AST 2016 , 7854, NGI_GDTDashboardService, Sudhakar, Logging changes . updated with broker instance name
Tue Sep 6 16:47:24 AST 2016 , 7848, NGI_GDTDashboardService, Sudhakar, Logging changes . updated with broker instance name
Tue Sep 6 16:47:58 AST 2016 , 7848, NGI_VRR_Service, Sudhakar, Logging changes . updated with broker instance name
Tue Sep 6 16:48:28 AST 2016 , 7848, NGI_DLR_Service, Sudhakar, Logging changes . updated with broker instance name
Tue Sep 6 17:15:11 AST 2016 , 7848, NGI_DLR_Service, Thiyan, Removed Entity-Directorates relationship and Used only Entity Instance, Attachments ans Designation as String and other finalised changes
Tue Sep 6 17:15:35 AST 2016 , 7848, SFBServices.bar, Thiyan, Removed Entity-Directorates relationship and Used only Entity Instance, Attachments ans Designation as String and other finalised changes
Tue Sep 6 17:16:16 AST 2016 , 7848, SFBServices, Thiyan, Removed Entity-Directorates relationship and Used only Entity Instance, Attachments ans Designation as String and other finalised changes
Wed Sep 7 09:14:36 AST 2016 , 7803, NGI-MOEAccredation_HTTPS, Gayathri, 1.Added new parameters MinisterialDecree Date, ProgramDecisionNo, ProgramDecisionNoDate, QualificationOffered which is a Key-Value pair, MinisterialDecreeType which is a Key-Value pair in .objAccredationApplication. object in FetchAccreditationDetails response, SubmitApplicantDetailsForAccreditation request, UpdateApplicantDetailsForAccreditation request
Wed Sep 7 09:17:56 AST 2016 , 7848, NGI-AccreditationServiceBPEL_HTTPS, Gayathri, 1.Added new parameters MinisterialDecree Date, ProgramDecisionNo, ProgramDecisionNoDate, QualificationOffered which is a Key-Value pair, MinisterialDecreeType which is a Key-Value pair in .objAccredationApplication. object in FetchAccreditationDetails response, SubmitApplicantDetailsForAccreditation request, UpdateApplicantDetailsForAccreditation request
Wed Sep 7 10:29:07 AST 2016 , 7848, NGI_VehicleInsuranceCBBReports, Kheir, redeploy, removing security tag from NGI request
Wed Sep 7 11:20:40 AST 2016 , 7848, NGI_VehicleInsuranceCBBReports, Kheir, redeploy, removing security tag from NGI request
Wed Sep 7 15:34:05 AST 2016 , 7855, NationalComplaintsApprovalBAR, Sudhakar, Updated  .NationalComplaintsApprovalMessageSet. messageset with new WSDL file . requested by Akram
Wed Sep 7 16:11:45 AST 2016 , 7803, NGI-MOEAccredation_HTTPS, Gayathri, 1.Added new parameters CommiteeRecommendation, Comments, ProgramDecisionNo, ProgramDecisionNoDate, MinDecreeType and MinDecreeDate in VerifyMinisterialDecreeResponse.2.Added new parameters ProgramDecisionNo, ProgramDecisionNoDate, MinDecreeType, MinDecreeDate in GetAllMinisterialDecreeResponse
Wed Sep 7 16:13:03 AST 2016 , 7848, NGI-AccreditationServiceBPEL_HTTPS, Gayathri, 1.Added new parameters CommiteeRecommendation, Comments, ProgramDecisionNo, ProgramDecisionNoDate, MinDecreeType and MinDecreeDate in VerifyMinisterialDecreeResponse.2.Added new parameters ProgramDecisionNo, ProgramDecisionNoDate, MinDecreeType, MinDecreeDate in GetAllMinisterialDecreeResponse
Thu Sep 8 08:42:07 AST 2016 , 7848, NGI_VehicleInsuranceCBBReports, Kheir, redeploy, removing security tag from NGI request
Thu Sep 8 09:11:09 AST 2016 , 7848, NGI-AccreditationServiceBPEL_HTTPS, Gayathri, 1.Added new parameters CommiteeRecommendation, Comments, ProgramDecisionNo, ProgramDecisionNoDate, MinDecreeType and MinDecreeDate in VerifyMinisterialDecreeResponse.2.Added new parameters ProgramDecisionNo, ProgramDecisionNoDate, MinDecreeType, MinDecreeDate in GetAllMinisterialDecreeResponse
Thu Sep 8 13:02:07 AST 2016 , 7848, NGI_VehicleInsuranceCBBReports, Mohammed, GDT has updated the WSDL, they removed validates tag
Thu Sep 8 13:41:08 AST 2016 , 7848, NGI_VehicleInsuranceCBBReports, Mohammed, GDT has updated the WSDL, they removed validates tag
Fri Sep 9 18:52:39 AST 2016 , 7848, EWAGoEbillService, Venkat, First Deployment
Fri Sep 9 18:56:59 AST 2016 , 7848, EWAGoEbillService, Venkat, First Deployment
Sat Sep 10 14:09:50 AST 2016 , 7854, BPEL-Wrapper/EWAGoEbillService, Venkat, First deployment
Sat Sep 10 14:51:59 AST 2016 , 7854, BPEL-Wrapper/EWAGoEbillService, Venkat, Activate changes, logging changes, multiple acc changes
Sat Sep 10 14:53:50 AST 2016 , 7854, BPEL-Wrapper/EWAGoEbillService, Venkat, Activate changes, logging changes, multiple acc changes
Sat Sep 10 14:56:35 AST 2016 , 7848, BPEL-Wrapper/EWAGoEbillService, Venkat, Activate changes, logging changes, multiple acc changes
Sat Sep 10 14:59:56 AST 2016 , 7854, BPEL-Wrapper/EWAGoEbillService, Venkat, Activate changes, logging changes, multiple acc changes
Sun Sep 11 13:51:59 AST 2016 , 7854, BPEL-Wrapper/EWAGoEbillService, Venkat, Activation URL can be url or encrypted string, logs alignment
Sun Sep 11 14:00:40 AST 2016 , 7854, BPEL-Wrapper/EWAGoEbillService, Venkat, Activation URL can be url or encrypted string, logs alignment
Sun Sep 11 14:08:14 AST 2016 , 7848, EWAGoEbillService, Venkat, Activation URL can be url or encrypted string, logs alignment
Thu Sep 15 11:35:25 AST 2016 , 7848, NGI_NewVehicleRegistrationService, Sudhakar, 1) Modified table .NGI_NEW_VEHICLE_REG_MAKE_DEALER_LKP. with new column .DEALER_NAME..2) Mapped .AgentName. with .DEALER_NAME. in Submit request and Getting this .DEALER_NAME. value from database based on the DealerID.
Sun Sep 18 11:51:02 AST 2016 , 7856, NGI_IssueOfBirthCertificateService, Venkat, Updated the Father and Mother English and Arabic names order
Sun Sep 18 14:19:23 AST 2016 , 7856, NGI_IssueOfBirthCertificateService, Venkat, Reset the Father and Mother English and Arabic names to empty before generating the output
Mon Sep 19 13:49:24 AST 2016 , 7854, EWAGoEbillService, Venkat, Backend added the new parameters Mobile,Telephone number and error message for get account details method
Mon Sep 19 14:44:55 AST 2016 , 7848, EWAGoEbillService, Venkat, Backend added the new parameters Mobile,Telephone number and error message for get account details method
Mon Sep 19 16:01:11 AST 2016 , 7848, EWAGoEbillService, Venkat, Added the EWA ID and password parameter in properties file
Mon Sep 19 16:07:56 AST 2016 , 7854, EWAGoEbillService, Venkat, Added the EWA ID and password parameter in properties file
Tue Sep 20 14:35:05 AST 2016 , 7854, EWAGoEbillService, Venkat, Added the ID Number in SET method in backend and same added in NGI Get and Submit account methods
Tue Sep 20 14:36:17 AST 2016 , 7848, EWAGoEbillService, Venkat, Added the ID Number in SET method in backend and same added in NGI Get and Submit account methods
Tue Sep 20 16:20:59 AST 2016 , 7848, EWAGoEbillService, Venkat, Updated the mandatory parameters to optional
Tue Sep 20 16:22:12 AST 2016 , 7854, EWAGoEbillService, Venkat, Updated the mandatory parameters to optional
Wed Sep 21 10:55:39 AST 2016 , 7848, EWAGoEbillService, Venkat, Added the new validation for NEW EMAILID is empty
Wed Sep 21 10:56:53 AST 2016 , 7854, EWAGoEbillService, Venkat, Added the new validation for NEW EMAILID is empty
